"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2728","has title","chromium","2026-06-09","passed","2026-06-09","","example.spec.ts","",""
"","3293","get started link","chromium","2026-06-09","passed","2026-06-09","","example.spec.ts","",""
