"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","@sanity get started link","chromium","2026-06-25","failed","2026-06-25","","example.spec.ts","",""
"","6","@smoke @login TC001_Login_Logout","chromium","2026-06-25","failed","2026-06-25","@sanity Regression Tests","TestSuite.spec.ts","",""
"","4","@smoke @sanity TC001_Login_Logout","chromium","2026-06-25","failed","2026-06-25","","LoginLogout.spec.ts","",""
"","8","@smoke has title","chromium","2026-06-25","failed","2026-06-25","","example.spec.ts","",""
"","5","@smoke @cart @regression has title","chromium","2026-06-25","failed","2026-06-25","@sanity Regression Tests","TestSuite.spec.ts","",""
"","4","@e2e @regression Verification","chromium","2026-06-25","failed","2026-06-25","","VerifyLogin.spec.ts","",""
