"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6601","@smoke @sanity TC001_Login_Logout","chromium","2026-06-09","passed","2026-06-09","","LoginLogout.spec.ts","",""
"","5105","@sanity get started link","chromium","2026-06-09","passed","2026-06-09","","example.spec.ts","",""
